beijing_grid_000,39,115
beijing_grid_001,39.1,115
beijing_grid_002,39.2,115
beijing_grid_003,39.3,115
beijing_grid_004,39.4,115
beijing_grid_005,39.5,115
beijing_grid_006,39.6,115
beijing_grid_007,39.7,115
beijing_grid_008,39.8,115
beijing_grid_009,39.9,115
beijing_grid_010,40,115
beijing_grid_011,40.1,115
beijing_grid_012,40.2,115
beijing_grid_013,40.3,115
beijing_grid_014,40.4,115
beijing_grid_015,40.5,115
beijing_grid_016,40.6,115
beijing_grid_017,40.7,115
beijing_grid_018,40.8,115
beijing_grid_019,40.9,115
beijing_grid_020,41,115
beijing_grid_021,39,115.1
beijing_grid_022,39.1,115.1
beijing_grid_023,39.2,115.1
beijing_grid_024,39.3,115.1
beijing_grid_025,39.4,115.1
beijing_grid_026,39.5,115.1
beijing_grid_027,39.6,115.1
beijing_grid_028,39.7,115.1
beijing_grid_029,39.8,115.1
beijing_grid_030,39.9,115.1
beijing_grid_031,40,115.1
beijing_grid_032,40.1,115.1
beijing_grid_033,40.2,115.1
beijing_grid_034,40.3,115.1
beijing_grid_035,40.4,115.1
beijing_grid_036,40.5,115.1
beijing_grid_037,40.6,115.1
beijing_grid_038,40.7,115.1
beijing_grid_039,40.8,115.1
beijing_grid_040,40.9,115.1
beijing_grid_041,41,115.1
beijing_grid_042,39,115.2
beijing_grid_043,39.1,115.2
beijing_grid_044,39.2,115.2
beijing_grid_045,39.3,115.2
beijing_grid_046,39.4,115.2
beijing_grid_047,39.5,115.2
beijing_grid_048,39.6,115.2
beijing_grid_049,39.7,115.2
beijing_grid_050,39.8,115.2
beijing_grid_051,39.9,115.2
beijing_grid_052,40,115.2
beijing_grid_053,40.1,115.2
beijing_grid_054,40.2,115.2
beijing_grid_055,40.3,115.2
beijing_grid_056,40.4,115.2
beijing_grid_057,40.5,115.2
beijing_grid_058,40.6,115.2
beijing_grid_059,40.7,115.2
beijing_grid_060,40.8,115.2
beijing_grid_061,40.9,115.2
beijing_grid_062,41,115.2
beijing_grid_063,39,115.3
beijing_grid_064,39.1,115.3
